authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,collectCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0e21c25c33727545f6a455cd2dcf9819~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fe08cfeb&x-expires=1768132800&x-signature=JNphtlp4xU%2FCCyw2mH8fljgN2QE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,nouwrahh,super cantikkk banget mukenanyaa 🥺🩷,2300,129,60700,18,728.0,14,الصوت الأصلي,𝑇𝑜𝑟𝑎𝑏,True,2024-09-26T11:21:56.000Z,https://www.tiktok.com/@nouwrahh/video/7418910501956013318
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0e21c25c33727545f6a455cd2dcf9819~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fe08cfeb&x-expires=1768132800&x-signature=JNphtlp4xU%2FCCyw2mH8fljgN2QE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,nouwrahh,ingfokan ke blok m lg 🥺,22900,822,128200,141,1480.0,0,Originalton,_speed.nasheeds_,True,2024-11-19T06:37:32.000Z,https://www.tiktok.com/@nouwrahh/video/7438875776512052535
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0e21c25c33727545f6a455cd2dcf9819~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fe08cfeb&x-expires=1768132800&x-signature=JNphtlp4xU%2FCCyw2mH8fljgN2QE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva,nouwrahh,strolling arounnd national gallery with my comfy khimaar by @Imazan Hijab :D ! 🤍 ,504,16,13500,6,22.0,14,its xrohy,بنت خميس,True,2024-11-23T13:52:41.000Z,https://www.tiktok.com/@nouwrahh/video/7440472304707980599
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,yg pnting pede yekan #fypシ #foryoupage,133,0,862,1,4.0,11,Gpp gak cantik yang penting pd yekan,Mahesboyy,True,2021-05-04T05:54:49.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/6958309528853040386
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,ga ngerti lagi dah😇 #fypシ #foryoupage,5792,262,48500,164,220.0,6,original sound,swamp.son,True,2021-06-27T09:10:45.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/6978398619556678913
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,masuk fyp kalian ga?🥺 #fypシ #foryoupage #fypdongggggggg #fypgakni #overthinking,96,7,1774,1,14.0,15,original sound - im fine,𝖏𝖆𝖉𝖊,True,2021-07-01T17:51:59.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/6980017271578053889
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,love u pake banget🤍 #mendadakloading #fypシ #foryoupage #fypdongggggggg #tiktokindonesia,48,0,1780,2,1.0,6,Buffering,酸菜果冻,True,2021-07-02T04:18:34.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/6980178728278183169
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,behold : ibuck ibuck🤪 #wakeupchallenge #fypシ #fypdongggggggg,45,7,4729,0,1.0,13,super rich kids,alchemizor,True,2021-08-11T04:08:08.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/6995019477813316891
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,saking sabarnya sampe kebal 😇🙏🏻,19,0,847,0,2.0,10,Waka Waka Remix,Noxxy,True,2022-04-21T12:28:05.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7089032864351702298
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,stress uts 🙏🏻 #fyp #foryoupage #xyzbca ,69,24,1734,0,19.0,10,accidentally in love,💌,True,2022-10-23T18:00:49.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7157769291666967835
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,kucing atma 🥹🫶🏻 #fyp #foryoupage ,16,0,350,0,0.0,11,оригинальный звук,🐈‍⬛,True,2022-10-27T06:37:35.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7159077618325671195
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,kangen ayah 🥺,45,1,618,0,2.0,12,original sound,bestspedup,True,2022-11-09T10:08:55.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7163956185148804379
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,kenapa si cewe kalo lg skincare slalu keliatan lbh cntik 🥹,43,0,430,0,1.0,15,suara asli - gabut woi,gabut woi,True,2022-11-11T13:42:03.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7164753268923583770
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,"bener ya ternyata, manusia itu unik #fyp #fypdongggggggg ",11,2,402,0,0.0,178,original sound - nadinealexandraa_,din 𐙚,True,2022-11-12T13:25:31.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7165120110322076955
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,🥹 #foryoupage #xyzbca ,52,0,457,0,2.0,0,those eyes,aajaatt07,True,2022-12-15T18:37:33.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7177446303071407387
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,#fyp #foryoupage #xyzbca ,15,0,342,0,0.0,10,NEED A BIG BOY,sam,True,2023-01-08T03:10:36.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7186113481937095962
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,banyakan no nya -mami 😭 #xyzbca #fypdongggggggg #fypシ ,30,0,608,1,2.0,55,original sound - na di ne 🦄,din 𐙚,True,2023-01-27T14:39:00.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7193341502746053914
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,seru juga hihi 🥹 #xyzbca #foryoupage ,29,0,479,0,0.0,0,original sound,Kaja💕,True,2023-03-15T09:10:57.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7210697964040359195
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,#SerunyaValentine terduga tp ttp shock 🙃🖐🏻,805,20,17900,11,38.0,10,som original,angel,True,2023-04-21T07:52:05.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7224407760643951899
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,❤️‍🩹✨ #fypdongggggggg #foryoupage ,31,0,368,3,0.0,15,original sound,khadi,True,2023-04-22T05:08:32.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7224736753343696155
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,love me ❤️‍🩹🫶🏻✨ #fypdongggggggg #transihir ,22,4,534,1,0.0,10,Love me transition,Z7,True,2023-04-22T16:35:40.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7224913819615628570
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,#CapCut all women are beautiful 🫶🏻✨,17,0,463,0,0.0,13,original sound - na di ne 🦄,din 𐙚,True,2023-04-26T05:19:41.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7226223922985880858
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,ancur deh lo #fypdongggggggg #foryoupage ,191,3,4959,4,20.0,9,Genius Sped up,ローラ -!! ☆,True,2023-05-14T02:36:53.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7232861455542930715
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,yesterday's dump 🖤 ,31,0,486,0,1.0,0,original sound - ᴄᴏɴᴀɴ.,conan,True,2023-06-19T02:07:58.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7246213164755324166
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,"#CapCut to all of you out there who's watching this video: whatever you're going through, you're doing so great. i know it hurts, but you're bigger than your problems, and God's love heals your wounded heart. semangatt, ily all! ❤️‍🩹",23,1,490,6,0.0,12,original sound - Zarah Gee,Adelainè🪬🧿,True,2023-06-26T12:28:29.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7248970664311393542
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,kangen dipeluk 🥺,56,4,823,0,1.0,15,original sound,ellie ☆,True,2023-07-07T11:52:58.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7253043452089306374
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,"i love u all so much 🥹❤️‍🩹
thankyou for coming into my life and put more colors into it. my life wouldn't be special without u all 🫶🏻",35,3,656,0,1.0,0,my love mine all mine sped up,✰,True,2023-07-10T02:17:46.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7254008474508643589
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,ilyttmab 🫶🏻 @Liev ,15,1,550,3,0.0,0,original sound,ria ❥,True,2023-07-11T03:41:55.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7254401241294441734
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,,175,18,4493,2,7.0,8,suara asli - 293boyy⚡️,ARY93⚡️,True,2023-07-14T10:56:14.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7255626429239463174
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,😊,11,0,598,0,0.0,0,DJ Mei Mei Susanti - Aiya Susanti Perempuan Banyak Muda Ana Banyak Jalan,Deep House DJ's,False,2023-07-15T10:59:18.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7255998304209652998
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,#CapCut ❤️‍🩹,30,1,1005,0,1.0,10,original sound - na di ne 🦄,din 𐙚,True,2023-07-21T12:17:52.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7258245061756914949
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,love language: jajan @Liev ,15,1,872,3,0.0,0,original sound,audiosbecausewhynot,True,2023-07-22T13:52:13.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7258640464369175814
https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/31e5a99f5ef43196483d4b9d89c68ecb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=dba7e9dd&x-expires=1768132800&x-signature=XBhpPwh3QBIhMxTS6bCox%2BjDDdo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,nadinealexandraaaa,🤍 #xyzbca #fypdongggggggg ,15,1,573,0,0.0,0,seasons,wave to earth,False,2023-07-25T12:50:45.000Z,https://www.tiktok.com/@nadinealexandraaaa/video/7259737874327784710
https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/d5e39480b2dc2120729b70c6c1ece375~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ffd5491b&x-expires=1768132800&x-signature=KSfq37lRvkSnL1B5lZLX5IPYEbc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,cchikiballss,"setelah nunggu 2 tahun akhirnya nonton jugaa!! bener bener keren bangett, congrattsss Musikal Petualangan Sherina 🫶🏽 @jakartamovin",42,0,1535,0,2.0,20,Theme Song Petualangan Sherina,Jakarta Movin,False,2022-07-02T08:00:58.000Z,https://www.tiktok.com/@cchikiballss/video/7115682148522151194
